name,title,year
Kristin Scott Thomas,Four Weddings and a Funeral,1994
Kate Winslet,Sense and Sensibility,1995
Juliette Binoche,The English Patient,1996
Sigourney Weaver,The Ice Storm,1997
Judi Dench,Shakespeare in Love,1998
Maggie Smith,Tea with Mussolini,1999
Julie Walters,Billy Elliot,2000
Jennifer Connelly,A Beautiful Mind,2001
Catherine Zeta-Jones,Chicago,2002
Renée Zellweger,Cold Mountain,2003
Cate Blanchett,The Aviator,2004
Thandie Newton,Crash,2005
Jennifer Hudson,Dreamgirls,2006
Tilda Swinton,Michael Clayton,2007
Penélope Cruz,Vicky Cristina Barcelona,2008
Mo'Nique,Precious,2009
Helena Bonham Carter,The King's Speech,2010
Octavia Spencer,The Help,2011
Anne Hathaway,Les Misérables,2012
Jennifer Lawrence,American Hustle,2013
Patricia Arquette,Boyhood,2014
Kate Winslet,Steve Jobs,2015
Viola Davis,Fences,2016
Allison Janney,"I, Tonya",2017
Rachel Weisz,The Favourite,2018
Laura Dern,Marriage Story,2019
